"games","region","gold","silver","bronze"
"1896 Summer","USA",11,7,2
"1896 Summer","UK",3,3,3
"1896 Summer","Switzerland",1,2,0
"1896 Summer","Hungary",2,1,3
"1896 Summer","Greece",10,18,20
"1896 Summer","Germany",25,5,2
"1896 Summer","France",5,4,2
"1896 Summer","Denmark",1,2,3
"1896 Summer","Austria",2,1,2
"1896 Summer","Australia",2,0,1
"1900 Summer","USA",30,16,17
"1900 Summer","UK",59,34,15
"1900 Summer","Switzerland",16,4,1
"1900 Summer","Sweden",3,0,1
"1900 Summer","Spain",2,0,0
"1900 Summer","Norway",0,6,3
"1900 Summer","New Zealand",1,0,0
"1900 Summer","Netherlands",3,8,16
"1900 Summer","Mexico",0,0,3
"1900 Summer","Luxembourg",1,0,0
"1900 Summer","Italy",3,2,0
"1900 Summer","India",0,2,0
"1900 Summer","Hungary",1,2,2
"1900 Summer","Haiti",1,0,0
"1900 Summer","Germany",14,20,11
"1900 Summer","France",52,101,82
"1900 Summer","Denmark",4,3,2
"1900 Summer","Czech Republic",0,1,2
"1900 Summer","Cuba",1,1,0
"1900 Summer","Colombia",0,1,0
"1900 Summer","Canada",1,0,1
"1900 Summer","Belgium",6,24,13
"1900 Summer","Austria",0,3,3
"1900 Summer","Australia",3,0,3
"1904 Summer","USA",128,141,125
"1904 Summer","UK",1,1,0
"1904 Summer","Switzerland",1,0,2
"1904 Summer","Norway",2,0,0
"1904 Summer","Hungary",2,1,1
"1904 Summer","Greece",1,0,1
"1904 Summer","Germany",4,5,7
"1904 Summer","France",0,2,0
"1904 Summer","Cuba",5,0,0
"1904 Summer","Canada",27,9,12
"1904 Summer","Austria",2,1,1
"1904 Summer","Australia",0,3,1
"1906 Summer","USA",12,6,6
"1906 Summer","UK",9,22,8
"1906 Summer","Switzerland",8,3,1
"1906 Summer","Sweden",2,5,14
"1906 Summer","Norway",20,5,0
"1906 Summer","Netherlands",0,1,5
"1906 Summer","Italy",21,8,27
"1906 Summer","Hungary",5,5,3
"1906 Summer","Greece",24,48,30
"1906 Summer","Germany",14,10,6
"1906 Summer","France",20,16,28
"1906 Summer","Finland",2,1,1
"1906 Summer","Denmark",14,19,1
"1906 Summer","Czech Republic",0,0,3
"1906 Summer","Canada",1,1,0
"1906 Summer","Belgium",2,3,6
"1906 Summer","Austria",3,3,3
"1906 Summer","Australia",0,0,3
"1908 Summer","USA",34,16,15
"1908 Summer","UK",147,131,90
"1908 Summer","Sweden",48,18,18
"1908 Summer","South Africa",1,1,0
"1908 Summer","Russia",1,2,0
"1908 Summer","Norway",7,32,3
"1908 Summer","Netherlands",0,0,16
"1908 Summer","Italy",2,6,0
"1908 Summer","Hungary",7,7,6
"1908 Summer","Greece",0,3,1
"1908 Summer","Germany",4,11,6
"1908 Summer","France",12,5,23
"1908 Summer","Finland",1,1,28
"1908 Summer","Denmark",0,14,3
"1908 Summer","Czech Republic",0,0,6
"1908 Summer","Canada",14,8,30
"1908 Summer","Belgium",1,24,8
"1908 Summer","Austria",0,0,1
"1908 Summer","Australia",15,2,2
"1912 Summer","USA",46,25,36
"1912 Summer","UK",47,64,59
"1912 Summer","Switzerland",2,0,0
"1912 Summer","Sweden",103,62,25
"1912 Summer","South Africa",5,2,0
"1912 Summer","Russia",0,5,9
"1912 Summer","Norway",40,6,34
"1912 Summer","Netherlands",0,0,26
"1912 Summer","Italy",22,1,2
"1912 Summer","Hungary",10,17,3
"1912 Summer","Greece",1,0,1
"1912 Summer","Germany",11,19,23
"1912 Summer","France",10,11,5
"1912 Summer","Finland",9,40,22
"1912 Summer","Denmark",5,49,33
"1912 Summer","Canada",3,2,3
"1912 Summer","Belgium",7,1,11
"1912 Summer","Austria",0,9,5
"1912 Summer","Australia",5,2,3
"1920 Summer","USA",111,45,38
"1920 Summer","UK",52,42,17
"1920 Summer","Switzerland",6,2,21
"1920 Summer","Sweden",52,38,64
"1920 Summer","Spain",0,23,0
"1920 Summer","South Africa",3,12,6
"1920 Summer","Norway",58,52,27
"1920 Summer","New Zealand",0,0,1
"1920 Summer","Netherlands",15,10,25
"1920 Summer","Luxembourg",0,1,0
"1920 Summer","Japan",0,3,0
"1920 Summer","Italy",67,9,8
"1920 Summer","Greece",0,5,0
"1920 Summer","France",13,71,57
"1920 Summer","Finland",21,14,17
"1920 Summer","Estonia",1,2,0
"1920 Summer","Denmark",26,44,1
"1920 Summer","Czech Republic",0,0,10
"1920 Summer","Canada",10,3,3
"1920 Summer","Brazil",1,1,5
"1920 Summer","Belgium",57,65,66
"1920 Summer","Australia",0,6,1
"1924 Summer","Uruguay",14,0,0
"1924 Summer","USA",97,36,49
"1924 Summer","UK",15,30,19
"1924 Summer","Switzerland",14,25,21
"1924 Summer","Sweden",7,22,43
"1924 Summer","South Africa",1,1,1
"1924 Summer","Serbia",2,0,0
"1924 Summer","Romania",0,0,16
"1924 Summer","Portugal",0,0,4
"1924 Summer","Poland",0,4,1
"1924 Summer","Norway",14,5,3
"1924 Summer","New Zealand",0,0,1
"1924 Summer","Netherlands",8,1,18
"1924 Summer","Monaco",0,0,1
"1924 Summer","Luxembourg",1,1,0
"1924 Summer","Japan",0,0,1
"1924 Summer","Italy",25,5,21
"1924 Summer","Ireland",0,1,1
"1924 Summer","Hungary",2,12,8
"1924 Summer","Haiti",0,0,5
"1924 Summer","Greece",1,0,0
"1924 Summer","France",37,51,22
"1924 Summer","Finland",24,13,15
"1924 Summer","Estonia",1,1,4
"1924 Summer","Denmark",2,9,3
"1924 Summer","Czech Republic",1,4,5
"1924 Summer","Canada",0,19,1
"1924 Summer","Belgium",3,30,6
"1924 Summer","Austria",0,3,1
"1924 Summer","Australia",3,5,2
"1924 Summer","Argentina",5,3,2
"1924 Winter","USA",1,10,1
"1924 Winter","UK",16,4,11
"1924 Winter","Switzerland",8,0,1
"1924 Winter","Sweden",1,8,0
"1924 Winter","Norway",4,7,6
"1924 Winter","Nepal",1,0,0
"1924 Winter","India",7,0,0
"1924 Winter","France",0,0,10
"1924 Winter","Finland",4,8,3
"1924 Winter","Canada",9,0,0
"1924 Winter","Belgium",0,0,5
"1924 Winter","Austria",3,1,0
"1924 Winter","Australia",1,0,0
"1928 Summer","Uruguay",17,0,0
"1928 Summer","USA",47,24,17
"1928 Summer","UK",7,27,24
"1928 Summer","Switzerland",16,10,4
"1928 Summer","Sweden",7,8,22
"1928 Summer","Spain",3,0,0
"1928 Summer","South Africa",1,0,5
"1928 Summer","Serbia",1,1,10
"1928 Summer","Portugal",0,0,6
"1928 Summer","Poland",2,3,15
"1928 Summer","Philippines",0,0,1
"1928 Summer","Norway",4,4,1
"1928 Summer","New Zealand",1,0,0
"1928 Summer","Netherlands",20,29,8
"1928 Summer","Luxembourg",1,0,0
"1928 Summer","Japan",2,6,1
"1928 Summer","Italy",24,22,26
"1928 Summer","Ireland",1,0,0
"1928 Summer","India",14,0,0
"1928 Summer","Hungary",10,11,0
"1928 Summer","Haiti",0,1,0
"1928 Summer","Germany",21,15,41
"1928 Summer","France",12,24,14
"1928 Summer","Finland",8,8,9
"1928 Summer","Estonia",2,1,6
"1928 Summer","Egypt",2,1,1
"1928 Summer","Denmark",6,5,4
"1928 Summer","Czech Republic",2,12,2
"1928 Summer","Chile",0,1,0
"1928 Summer","Canada",7,5,21
"1928 Summer","Belgium",0,1,4
"1928 Summer","Austria",3,0,2
"1928 Summer","Australia",1,2,1
"1928 Summer","Argentina",3,18,5
"1928 Winter","USA",6,6,2
"1928 Winter","UK",0,0,1
"1928 Winter","Switzerland",0,0,12
"1928 Winter","Sweden",2,13,1
"1928 Winter","Norway",6,4,5
"1928 Winter","Germany",0,0,5
"1928 Winter","France",2,0,0
"1928 Winter","Finland",2,1,1
"1928 Winter","Czech Republic",0,0,1
"1928 Winter","Canada",12,0,0
"1928 Winter","Belgium",0,0,1
"1928 Winter","Austria",0,4,2
"1932 Summer","Uruguay",0,0,1
"1932 Summer","USA",81,47,61
"1932 Summer","UK",9,12,14
"1932 Summer","Switzerland",0,1,0
"1932 Summer","Sweden",13,7,12
"1932 Summer","Spain",0,0,1
"1932 Summer","South Africa",2,0,3
"1932 Summer","Poland",3,4,14
"1932 Summer","Philippines",0,0,3
"1932 Summer","New Zealand",0,2,0
"1932 Summer","Netherlands",2,10,1
"1932 Summer","Mexico",0,2,0
"1932 Summer","Latvia",0,1,0
"1932 Summer","Japan",10,17,4
"1932 Summer","Italy",21,38,18
"1932 Summer","Ireland",2,0,0
"1932 Summer","India",15,0,0
"1932 Summer","Hungary",20,5,8
"1932 Summer","Germany",10,26,7
"1932 Summer","France",26,8,6
"1932 Summer","Finland",5,8,16
"1932 Summer","Denmark",0,7,4
"1932 Summer","Czech Republic",1,3,2
"1932 Summer","Canada",2,13,24
"1932 Summer","Belgium",0,0,1
"1932 Summer","Austria",1,1,3
"1932 Summer","Australia",3,1,1
"1932 Summer","Argentina",3,1,0
"1932 Winter","USA",10,21,3
"1932 Winter","Switzerland",0,2,0
"1932 Winter","Sweden",1,2,0
"1932 Winter","Norway",3,4,3
"1932 Winter","Hungary",0,0,2
"1932 Winter","Germany",0,0,14
"1932 Winter","France",2,0,0
"1932 Winter","Finland",1,1,1
"1932 Winter","Canada",14,1,5
"1932 Winter","Austria",1,1,0
"1936 Summer","USA",51,29,16
"1936 Summer","UK",12,16,8
"1936 Summer","Turkey",1,0,1
"1936 Summer","Switzerland",5,23,24
"1936 Summer","Sweden",7,11,17
"1936 Summer","South Africa",0,1,0
"1936 Summer","Serbia",0,1,0
"1936 Summer","Romania",0,1,0
"1936 Summer","Portugal",0,0,3
"1936 Summer","Poland",0,6,6
"1936 Summer","Philippines",0,0,1
"1936 Summer","Norway",1,12,15
"1936 Summer","New Zealand",1,0,0
"1936 Summer","Netherlands",9,7,21
"1936 Summer","Mexico",0,0,16
"1936 Summer","Latvia",0,1,1
"1936 Summer","Japan",9,4,10
"1936 Summer","Italy",37,34,5
"1936 Summer","India",19,0,0
"1936 Summer","Hungary",25,1,15
"1936 Summer","Germany",93,70,61
"1936 Summer","France",13,13,18
"1936 Summer","Finland",8,6,13
"1936 Summer","Estonia",2,2,3
"1936 Summer","Egypt",2,1,2
"1936 Summer","Denmark",0,3,3
"1936 Summer","Czech Republic",5,12,1
"1936 Summer","Canada",1,12,9
"1936 Summer","Belgium",0,0,14
"1936 Summer","Austria",6,42,7
"1936 Summer","Australia",0,0,1
"1936 Summer","Argentina",5,2,4
"1936 Winter","USA",2,0,14
"1936 Winter","UK",12,1,4
"1936 Winter","Switzerland",4,6,0
"1936 Winter","Sweden",2,2,6
"1936 Winter","Norway",7,8,3
"1936 Winter","Hungary",0,0,2
"1936 Winter","Germany",4,3,0
"1936 Winter","France",0,0,1
"1936 Winter","Finland",4,2,3
"1936 Winter","Canada",0,13,0
"1936 Winter","Austria",1,2,2
"1948 Summer","Uruguay",0,1,2
"1948 Summer","USA",87,30,35
"1948 Summer","UK",7,42,12
"1948 Summer","Turkey",6,4,2
"1948 Summer","Trinidad",0,1,0
"1948 Summer","Switzerland",5,25,6
"1948 Summer","Sweden",30,15,30
"1948 Summer","Sri Lanka",0,1,0
"1948 Summer","Spain",0,3,0
"1948 Summer","South Korea",0,0,2
"1948 Summer","South Africa",2,2,2
"1948 Summer","Serbia",0,16,0
"1948 Summer","Puerto Rico",0,0,1
"1948 Summer","Portugal",0,2,3
"1948 Summer","Poland",1,0,1
"1948 Summer","Peru",1,0,0
"1948 Summer","Panama",0,0,2
"1948 Summer","Norway",3,4,11
"1948 Summer","Netherlands",8,2,32
"1948 Summer","Mexico",4,1,4
"1948 Summer","Jamaica",1,2,0
"1948 Summer","Italy",21,32,14
"1948 Summer","Ireland",0,0,1
"1948 Summer","Iran",0,0,1
"1948 Summer","India",20,0,0
"1948 Summer","Hungary",15,25,22
"1948 Summer","France",26,22,24
"1948 Summer","Finland",17,8,8
"1948 Summer","Egypt",2,2,1
"1948 Summer","Denmark",7,17,27
"1948 Summer","Czech Republic",14,3,3
"1948 Summer","Cuba",0,2,0
"1948 Summer","Canada",0,2,5
"1948 Summer","Brazil",0,0,10
"1948 Summer","Belgium",5,2,8
"1948 Summer","Austria",2,2,4
"1948 Summer","Australia",2,9,5
"1948 Summer","Argentina",3,7,1
"1948 Winter","USA",6,4,6
"1948 Winter","UK",0,0,2
"1948 Winter","Switzerland",4,5,19
"1948 Winter","Sweden",7,3,3
"1948 Winter","Norway",4,3,6
"1948 Winter","Italy",1,0,0
"1948 Winter","Hungary",0,2,0
"1948 Winter","France",2,1,2
"1948 Winter","Finland",1,6,2
"1948 Winter","Czech Republic",0,17,0
"1948 Winter","Canada",13,0,2
"1948 Winter","Belgium",2,4,0
"1948 Winter","Austria",1,3,4
"1952 Summer","Venezuela",0,0,1
"1952 Summer","Uruguay",0,0,14
"1952 Summer","USA",83,23,28
"1952 Summer","UK",3,2,26
"1952 Summer","Turkey",2,0,1
"1952 Summer","Trinidad",0,0,2
"1952 Summer","Switzerland",2,19,12
"1952 Summer","Sweden",23,24,23
"1952 Summer","Spain",0,1,0
"1952 Summer","South Korea",0,0,2
"1952 Summer","South Africa",2,8,4
"1952 Summer","Serbia",4,20,0
"1952 Summer","Russia",36,62,19
"1952 Summer","Romania",1,1,2
"1952 Summer","Portugal",0,0,2
"1952 Summer","Poland",1,2,1
"1952 Summer","Norway",5,8,0
"1952 Summer","New Zealand",1,0,2
"1952 Summer","Netherlands",0,18,0
"1952 Summer","Mexico",0,1,0
"1952 Summer","Luxembourg",1,0,0
"1952 Summer","Lebanon",0,1,1
"1952 Summer","Japan",1,9,2
"1952 Summer","Jamaica",5,3,0
"1952 Summer","Italy",17,22,15
"1952 Summer","Ireland",0,1,0
"1952 Summer","Iran",0,3,4
"1952 Summer","India",14,0,1
"1952 Summer","Hungary",53,17,32
"1952 Summer","Germany",0,14,26
"1952 Summer","France",14,9,17
"1952 Summer","Finland",8,3,29
"1952 Summer","Egypt",0,0,1
"1952 Summer","Denmark",3,1,5
"1952 Summer","Czech Republic",11,4,10
"1952 Summer","Chile",0,4,0
"1952 Summer","Canada",1,3,0
"1952 Summer","Bulgaria",0,0,1
"1952 Summer","Brazil",1,0,2
"1952 Summer","Belgium",5,3,0
"1952 Summer","Austria",0,1,2
"1952 Summer","Australia",7,2,11
"1952 Summer","Argentina",2,2,2
"1952 Winter","USA",4,25,1
"1952 Winter","UK",1,0,0
"1952 Winter","Switzerland",0,0,6
"1952 Winter","Sweden",0,0,23
"1952 Winter","Norway",7,6,6
"1952 Winter","Netherlands",0,3,0
"1952 Winter","Italy",1,0,1
"1952 Winter","Hungary",0,0,2
"1952 Winter","Germany",8,2,2
"1952 Winter","France",0,0,1
"1952 Winter","Finland",6,4,2
"1952 Winter","Canada",16,0,1
"1952 Winter","Austria",2,4,2
"1956 Summer","Uruguay",0,0,12
"1956 Summer","USA",61,42,20
"1956 Summer","UK",8,16,22
"1956 Summer","Turkey",3,2,2
"1956 Summer","Switzerland",0,0,3
"1956 Summer","Sweden",14,14,6
"1956 Summer","South Korea",0,1,1
"1956 Summer","South Africa",0,0,7
"1956 Summer","Serbia",0,23,0
"1956 Summer","Russia",68,46,55
"1956 Summer","Romania",6,3,10
"1956 Summer","Poland",1,9,9
"1956 Summer","Pakistan",0,14,0
"1956 Summer","Norway",1,0,2
"1956 Summer","New Zealand",3,0,0
"1956 Summer","Mexico",1,0,1
"1956 Summer","Japan",4,15,5
"1956 Summer","Italy",26,11,10
"1956 Summer","Ireland",1,1,3
"1956 Summer","Iran",2,2,1
"1956 Summer","India",17,0,0
"1956 Summer","Iceland",0,1,0
"1956 Summer","Hungary",30,20,14
"1956 Summer","Greece",0,0,1
"1956 Summer","Germany",9,20,23
"1956 Summer","France",7,13,13
"1956 Summer","Finland",3,1,22
"1956 Summer","Denmark",1,4,1
"1956 Summer","Czech Republic",1,5,1
"1956 Summer","Chile",0,2,2
"1956 Summer","Canada",5,9,5
"1956 Summer","Bulgaria",1,3,14
"1956 Summer","Brazil",1,0,0
"1956 Summer","Belgium",0,2,0
"1956 Summer","Bahamas",0,0,2
"1956 Summer","Austria",0,0,4
"1956 Summer","Australia",28,13,26
"1956 Summer","Argentina",0,1,1
"1956 Winter","USA",2,19,5
"1956 Winter","Switzerland",6,2,2
"1956 Winter","Sweden",2,4,9
"1956 Winter","Russia",26,5,6
"1956 Winter","Poland",0,0,1
"1956 Winter","Norway",2,1,1
"1956 Winter","Japan",0,1,0
"1956 Winter","Italy",2,6,0
"1956 Winter","Hungary",0,0,2
"1956 Winter","Germany",1,0,1
"1956 Winter","Finland",5,6,1
"1956 Winter","Canada",0,2,18
"1956 Winter","Austria",5,3,4
"1960 Summer","Venezuela",0,0,1
"1960 Summer","USA",81,23,21
"1960 Summer","UK",2,11,15
"1960 Summer","Turkey",7,2,0
"1960 Summer","Trinidad",0,0,5
"1960 Summer","Taiwan",0,1,0
"1960 Summer","Syria",0,1,1
"1960 Summer","Switzerland",0,6,6
"1960 Summer","Sweden",2,2,3
"1960 Summer","Spain",0,0,14
"1960 Summer","South Africa",0,1,2
"1960 Summer","Serbia",16,1,0
"1960 Summer","Russia",61,63,45
"1960 Summer","Romania",3,1,11
"1960 Summer","Portugal",0,2,0
"1960 Summer","Poland",4,11,15
"1960 Summer","Pakistan",13,0,1
"1960 Summer","Norway",2,0,0
"1960 Summer","New Zealand",2,0,1
"1960 Summer","Netherlands",0,1,2
"1960 Summer","Morocco",0,1,0
"1960 Summer","Mexico",0,0,1
"1960 Summer","Japan",9,10,12
"1960 Summer","Italy",36,18,34
"1960 Summer","Iraq",0,0,1
"1960 Summer","Iran",0,1,3
"1960 Summer","India",0,13,0
"1960 Summer","Hungary",13,16,37
"1960 Summer","Greece",3,0,0
"1960 Summer","Ghana",0,1,0
"1960 Summer","Germany",34,33,22
"1960 Summer","France",0,6,6
"1960 Summer","Finland",1,1,4
"1960 Summer","Ethiopia",1,0,0
"1960 Summer","Denmark",2,17,4
"1960 Summer","Czech Republic",4,7,11
"1960 Summer","Canada",0,9,0
"1960 Summer","Bulgaria",1,3,3
"1960 Summer","Brazil",0,0,13
"1960 Summer","Belgium",0,2,2
"1960 Summer","Austria",1,2,0
"1960 Summer","Australia",11,24,11
"1960 Summer","Argentina",0,3,1
"1960 Winter","USA",19,4,4
"1960 Winter","Switzerland",2,0,0
"1960 Winter","Sweden",5,2,2
"1960 Winter","Russia",7,7,28
"1960 Winter","Poland",0,1,1
"1960 Winter","Norway",3,6,0
"1960 Winter","Netherlands",0,1,1
"1960 Winter","Italy",0,0,1
"1960 Winter","Germany",4,4,1
"1960 Winter","France",1,0,2
"1960 Winter","Finland",5,3,5
"1960 Winter","Czech Republic",0,1,0
"1960 Winter","Canada",3,17,1
"1960 Winter","Austria",1,2,3
"1964 Summer","Uruguay",0,0,1
"1964 Summer","USA",95,37,37
"1964 Summer","UK",4,19,5
"1964 Summer","Turkey",2,3,1
"1964 Summer","Tunisia",0,1,1
"1964 Summer","Trinidad",0,1,5
"1964 Summer","Switzerland",1,4,1
"1964 Summer","Sweden",3,4,8
"1964 Summer","South Korea",0,2,1
"1964 Summer","Serbia",2,11,2
"1964 Summer","Russia",60,63,51
"1964 Summer","Romania",2,4,10
"1964 Summer","Poland",10,13,23
"1964 Summer","Philippines",0,1,0
"1964 Summer","Pakistan",0,16,0
"1964 Summer","Nigeria",0,0,1
"1964 Summer","New Zealand",4,0,2
"1964 Summer","Netherlands",5,10,16
"1964 Summer","Mexico",0,0,1
"1964 Summer","Kenya",0,0,1
"1964 Summer","Japan",32,5,25
"1964 Summer","Italy",14,28,9
"1964 Summer","Ireland",0,0,1
"1964 Summer","Iran",0,0,2
"1964 Summer","India",15,0,0
"1964 Summer","Hungary",42,7,7
"1964 Summer","Ghana",0,0,1
"1964 Summer","Germany",22,44,50
"1964 Summer","France",1,13,17
"1964 Summer","Finland",3,0,2
"1964 Summer","Ethiopia",1,0,0
"1964 Summer","Denmark",7,1,4
"1964 Summer","Czech Republic",5,37,12
"1964 Summer","Cuba",0,1,0
"1964 Summer","Canada",2,2,1
"1964 Summer","Bulgaria",3,5,2
"1964 Summer","Brazil",0,0,12
"1964 Summer","Belgium",2,0,1
"1964 Summer","Bahamas",2,0,0
